Variable;Código;Etiqueta
Mupocu;1302;Chiantla
Mupocu;1303;Malacatancito
Mupocu;1304;Cuilco
Mupocu;1305;Nentón
Mupocu;1306;San Pedro Necta
Mupocu;1307;Jacaltenango
Mupocu;1308;Soloma
Mupocu;1309;Ixtahuacán
Mupocu;1310;Santa Bárbara
Mupocu;1311;La Libertad
Mupocu;1312;La Democracia
Mupocu;1313;San Miguel Acatán
Mupocu;1314;San Rafael la Independencia
Mupocu;1315;Todos Santos Cuchumatán
Mupocu;1316;San Juan Atitán
Mupocu;1317;Santa Eulalia
Mupocu;1318;San Mateo Ixtatán
Mupocu;1319;Colotenango
Mupocu;1320;San Sebastián Huehuetenango
Mupocu;1321;Tectitán
Mupocu;1322;Concepción Huista
Mupocu;1323;San Juan Ixcoy
Mupocu;1324;San Antonio Huista
Mupocu;1325;San Sebastián Coatán
Mupocu;1326;Barillas
Mupocu;1327;Aguacatán
Mupocu;1328;San Rafael Petzal
Mupocu;1329;San Gaspar Ixchil
Mupocu;1330;Santiago Chimaltenango
Mupocu;1331;Santa Ana Huista
Mupocu;1332;Unión Cantinil
Mupocu;1401;Santa Cruz del Quiché
Mupocu;1402;Chiché
Mupocu;1403;Chinique
Mupocu;1404;Zacualpa
Mupocu;1405;Chajul
Mupocu;1406;Chichicastenango
Mupocu;1407;Patzité
Mupocu;1408;San Antonio Ilotenango
Mupocu;1409;San Pedro Jocopilas
Mupocu;1410;Cunén
Mupocu;1411;San Juan Cotzal
Mupocu;1412;Joyabaj
Mupocu;1413;Nebaj
Mupocu;1414;San Andrés Sajcabajá
Mupocu;1415;Uspantán
Mupocu;1416;Sacapulas
Mupocu;1417;San Bartolomé Jocotenango
Mupocu;1418;Canillá
Mupocu;1419;Chicamán
Mupocu;1420;Ixcán
Mupocu;1421;Pachalum
Mupocu;1501;Salamá
Mupocu;1502;San Miguel Chicaj
Mupocu;1503;Rabinal
Mupocu;1504;Cubulco
Mupocu;1505;Granados
Mupocu;1506;El Chol
Mupocu;1507;San Jerónimo
Mupocu;1508;Purulhá
Mupocu;1601;Cobán
Mupocu;1602;Santa Cruz Verapaz
Mupocu;1603;San Cristóbal Verapaz
Mupocu;1604;Tactic
Mupocu;1605;Tamahú
Mupocu;1606;Tucurú
Mupocu;1607;Panzós
Mupocu;1608;Senahú
Mupocu;1609;San Pedro Carchá
Mupocu;1610;San Juan Chamelco
Mupocu;1611;Lanquín
Mupocu;1612;Cahabón
Mupocu;1613;Chisec
Mupocu;1614;Chahal
Mupocu;1615;Fray Bartolomé de las Casas
Mupocu;1616;Santa Catalina la Tinta
Mupocu;1617;Raxruhá
Mupocu;1701;Flores
Mupocu;1702;San José
Mupocu;1703;San Benito
Mupocu;1704;San Andrés
Mupocu;1705;La Libertad
Mupocu;1706;San Francisco
Mupocu;1707;Santa Ana
Mupocu;1708;Dolores
Mupocu;1709;San Luis
Mupocu;1710;Sayaxché
Mupocu;1711;Melchor de Mencos
Mupocu;1712;Poptún
Mupocu;1713;Las Cruces
Mupocu;1801;Puerto Barrios
Mupocu;1802;Livingston
Mupocu;1803;El Estor
Mupocu;1804;Morales
Mupocu;1805;Los Amates
Mupocu;1901;Zacapa
Mupocu;1902;Estanzuela
Mupocu;1903;Río Hondo
Mupocu;1904;Gualán
Mupocu;1905;Teculután
Mupocu;1906;Usumatlán
Mupocu;1907;Cabañas
Mupocu;1908;San Diego
Mupocu;1909;La Unión
Mupocu;1910;Huité
Mupocu;2001;Chiquimula
Mupocu;2002;San José La Arada
Mupocu;2003;San Juan Ermita
Mupocu;2004;Jocotán
Mupocu;2005;Camotán
Mupocu;2006;Olopa
Mupocu;2007;Esquipulas
Mupocu;2008;Concepción Las Minas
Mupocu;2009;Quetzaltepeque
Mupocu;2010;San Jacinto
Mupocu;2011;Ipala
Mupocu;2101;Jalapa
Mupocu;2102;San Pedro Pinula
Mupocu;2103;San Luis Jilotepeque
Mupocu;2104;San Manuel Chaparrón
Mupocu;2105;San Carlos Alzatate
Mupocu;2106;Monjas
Mupocu;2107;Mataquescuintla
Mupocu;2201;Jutiapa
Mupocu;2202;El Progreso
Mupocu;2203;Santa Catarina Mita
Mupocu;2204;Agua Blanca
Mupocu;2205;Asunción Mita
Mupocu;2206;Yupiltepeque
Mupocu;2207;Atescatempa
Mupocu;2208;Jerez
Mupocu;2209;El Adelanto
Mupocu;2210;Zapotitlán
Mupocu;2211;Comapa
Mupocu;2212;Jalpatagua
Mupocu;2213;Conguaco
Mupocu;2214;Moyuta
Mupocu;2215;Pasaco
Mupocu;2216;San José Acatempa
Mupocu;2217;Quesada
Areag;1;Urbano
Areag;2;Rural
Areag;9;Ignorado
Sexo;1;Hombre
Sexo;2;Mujer
Diaocu;1;1
Diaocu;2;2
Diaocu;3;3
Diaocu;4;4
Diaocu;5;5
Diaocu;6;6
Diaocu;7;7
Diaocu;8;8
Diaocu;9;9
Diaocu;10;10
Diaocu;11;11
Diaocu;12;12
Diaocu;13;13
Diaocu;14;14
Diaocu;15;15
Diaocu;16;16
Diaocu;17;17
Diaocu;18;18
Diaocu;19;19
Diaocu;20;20
Diaocu;21;21
Diaocu;22;22
Diaocu;23;23
Diaocu;24;24
Diaocu;25;25
Diaocu;26;26
Diaocu;27;27
Diaocu;28;28
Diaocu;29;29
Diaocu;30;30
Diaocu;31;31
Mesocu;1;Enero
Mesocu;2;Febrero
Mesocu;3;Marzo
Mesocu;4;Abril
Mesocu;5;Mayo
Mesocu;6;Junio
Mesocu;7;Julio
Mesocu;8;Agosto
Mesocu;9;Septiembre
Mesocu;10;Octubre
Mesocu;11;Noviembre
Mesocu;12;Diciembre
Edadif;0;0
Edadif;1;1
Edadif;2;2
Edadif;3;3
Edadif;4;4
Edadif;5;5
Edadif;6;6
Edadif;7;7
Edadif;8;8
Edadif;9;9
Edadif;10;10
Edadif;11;11
Edadif;12;12
Edadif;13;13
Edadif;14;14
Edadif;15;15
Edadif;16;16
Edadif;17;17
